id,type,text1,text2,text3,text4,notes,reviewed
ironshell,FACTION,"Iron Shell is a military peacekeeping force operating directly under the Hegemony Council and High Hegemon. Acting as both an internal security force and as a branch of the Hegemony special forces, Iron Shell's elevated authority is a source of both tension and admiration from the rest of the navy.

Formed around the decorated ""Iron Shell"" task force in the aftermath of the tragedies of the First AI War, the organization quickly built a reputation maintaining order within the fractured Hegemony military. In the decades that followed, tales of counter-terrorism, law enforcement, and noble sacrifice in defense of the Hegemony were joined by accusations of frivolous shakedowns, misappropriated funding, and mysterious disappearances. Reform began after the Askonia Crisis, where Iron Shell took the fall for a complacant and indecisive Hegemony. With new leadership helmed by freshly-awoken sleepers from the original Fourteenth Battlegroup, Iron Shell has since gained greater independance with a seat on the Hegemony Council, as well as a restored purpose. Their sworn duty, to ensure the prosperity of the Hegemony by any means necessary.
",,,,,
#Planets,,,,,,,
station_chitagupta,CUSTOM,"An orbitial naval yard and port, Lekhani Station is the unquestioned cosmopolitan center of business in the Naraka system as well as the seat of the Hegemony commerce district. Heavy commercial and naval traffic swarms the station at all times.",,"Restored from a vast derelict structure of pre-Collapse design, the fueling and repair gantries are hidden among industrial hangars that lie in the shadow of a huge ring of laboratories and associated support systems. Commercial concourses and recreational facilities are overseen by a command & control spire bristling with top of the line communication arrays and weapon pods.",,,
planet_chitagupta,CUSTOM,"Originally a harsh, frozen world, a small mining colony was established some time after the Collapse but destroyed in the midst of the First AI War. The atmospheric changes from the bombardment set off an inadvertent terraforming process, eventually turning the planet's glaciers into seas. Decades later, with the process complete, the Hegemony settled and stabilized the world, turning it into the headquarters of Iron Shell. It is said that the seas grow warmer every cycle, a trend welcomed by guests, but worrying to marine biologists.",,"A gleaming cerulean haven amongst the dreary backwater of Naraka, the presence of Iron Shell on Chitagupta provides crucial food and security to the teetering system and its colonies.

Though chiefly a military world, economically speaking, it has nevertheless found fame for its extravagant recreational facilities. While mainly used by high-ranking or important Hegemony officials, common citizens may still enjoy these first-class amenities, that is, if they can afford the exorbitant prices.",,,
planet_chitagupta_ironshell,CUSTOM,"Originally a harsh, frozen world, a small mining colony was established some time after the Collapse but destroyed in the midst of the First AI War. The atmospheric changes from the bombardment set off an inadvertent terraforming process, eventually turning the planet's glaciers into seas. Decades later, with the process complete, the Hegemony settled and stabilized the world, turning it into the headquarters of Iron Shell. It is said that the seas grow warmer every cycle, a trend welcomed by guests, but worrying to marine biologists.",,"A gleaming cerulean haven amongst the dreary backwater of Naraka, the presence of Iron Shell on Chitagupta provides crucial food and security to the teetering system and its colonies.

Though chiefly a military world, economically speaking, it has nevertheless found fame for its extravagant recreational facilities. While mainly used by high-ranking or important Hegemony officials, common citizens may still enjoy these first-class amenities, that is, if they can afford the exorbitant prices.",,,
planet_yami,CUSTOM,"An underground penal colony on an inhospitable planet, Yami is host to tens of thousands of Hegemony prisoners whose offenses range from tax evasion to murder. Managed by the wardens controlling the planet's infrastructure, the prison population is put to work mining and refining metals that are then shipped off world to be turned into supplies for the Hegemony war machine. With no atmosphere to speak of, there is no escape for the violent, criminal and taxably liable enemies of the Hegemony.",,"Under the Iron Shell charter, the frozen celestial body serves as a penal colony for political dissidents and criminals.

The burden of serving their sentences in Yami's cramped, frigid mines takes a great toll on most prisoners' spirits and bodies, and escaping the prison complex itself is futile, given the inability to survive the surface conditions or escape the planet itself.",,,
planet_yami_ironshell,CUSTOM,"An underground penal colony on an inhospitable planet, Yami's subterranean markets bustle with activity as traders and high profile patrons arrive from the spaceport. On occasion, the prison wardens are rumored to hold auctions, selling prisoners to the highest bidder for nebulous purposes. What is known is that, even accounting for the death toll expected in such a place, prisoners have gone missing with alarming regularity. The reticence of the authorities to investigate and the unwillingness of the Hegemony to intervene has lead to some protests. Those protests never last long, however, with protesters either imprisoned or, more often, paid to keep quiet.",,"Under the Iron Shell charter, the frozen celestial body serves as a penal colony for political dissidents and criminals.

The burden of serving their sentences in Yami's cramped, frigid mines takes a great toll on most prisoners' spirits and bodies, and escaping the prison complex itself is futile, given the inability to survive the surface conditions or escape the planet itself.",,,
planet_hanan_pacha_ironshell,CUSTOM,"A crematory world laid to waste by forbidden planet-cracker weapons, the ashes of the millions of dead in the atmosphere are being cleaned up by the current planetary administration in an effort to restore the planet.",,"Hanan Pacha was razed by forbidden planet-cracker weapons during the course of the Second AI War (which did not, of course, itself involve AI as the First AI War did, but rather concerned the right to perform inspections into alleged development of AI). The issue of investigation into the details of said forbidden weapon deployment was initially dropped, but complications after the peace agreement has caused the Iron Shell leadership to investigate as well as cleaning up to restore the planet.",,,
planet_kanni_ironshell,CUSTOM,"An underpaid mercenary company decided to exploit the political chaos following the Second AI war by taking control of Kanni, a megacorp resource-extraction outfit. The remote mining outpost used to be controlled by a revolving committee of brigands, but the official request to the Hegemony to repossess the expropriated facilities and equipment was granted thanks to the efforts of Iron Shell.",,,,,
,,,,,,,
